,temp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,time
159,-145,1122,15872,1515,38,3299,54,2102,-574,-2620,2022-10-21 16:19:26.703078
160,-144,1097,15814,1258,211,2958,-22,2119,-515,-2522,2022-10-21 16:19:26.836712
161,-145,1089,15659,1703,67,2535,-88,2145,-530,-2431,2022-10-21 16:19:26.967677
162,-144,1527,16118,766,-26,2148,-116,2092,-453,-2358,2022-10-21 16:19:27.093452
163,-146,952,15917,1115,92,2021,-98,2036,-489,-2293,2022-10-21 16:19:27.223752
164,-146,906,15740,1376,27,1899,-159,2011,-488,-2270,2022-10-21 16:19:27.352802
165,-146,951,15688,1423,50,1630,-63,2231,-694,-2291,2022-10-21 16:19:27.482274
166,-144,1559,15761,1284,-10,1026,-66,2428,-983,-2215,2022-10-21 16:19:27.612323
167,-144,1396,16175,1058,-111,290,-116,2488,-985,-2238,2022-10-21 16:19:27.741634
168,-144,1402,15804,1126,0,139,-166,2366,-839,-2186,2022-10-21 16:19:27.870387
169,-145,1282,16058,1056,-13,19,-133,2436,-886,-2200,2022-10-21 16:19:27.998008
170,-143,1537,15994,1124,-76,114,-138,2369,-811,-2159,2022-10-21 16:19:28.123257
171,-146,1370,15922,1099,-56,113,-172,2394,-846,-2190,2022-10-21 16:19:28.252961
172,-144,1317,15897,1073,-122,104,-111,2392,-849,-2215,2022-10-21 16:19:28.380653
173,-145,1411,16010,1020,81,165,-98,2374,-826,-2159,2022-10-21 16:19:28.509561
174,-145,1289,15901,1019,-226,140,-133,2420,-894,-2215,2022-10-21 16:19:28.635192
175,-143,1189,16024,1285,-86,134,-114,2370,-858,-2183,2022-10-21 16:19:28.763237
176,-143,1319,15821,1079,-74,121,-172,2373,-893,-2134,2022-10-21 16:19:28.888953
177,-145,1268,15905,1167,-61,129,-130,2389,-824,-2136,2022-10-21 16:19:29.017041
178,-143,1291,15924,1186,-48,134,-148,2363,-875,-2128,2022-10-21 16:19:29.140926
179,-145,1251,15915,1118,-75,131,-134,2379,-886,-2116,2022-10-21 16:19:29.270812
180,-143,1526,16136,404,-42,208,-73,2337,-809,-2088,2022-10-21 16:19:29.399901
181,-145,1556,15722,1527,-306,214,-137,2373,-823,-2124,2022-10-21 16:19:29.530356
182,-145,1124,15821,1110,134,84,-161,2349,-840,-2244,2022-10-21 16:19:29.654409
183,-143,1739,16030,944,-34,-301,-198,2344,-855,-2162,2022-10-21 16:19:29.784685
184,-145,447,15949,1266,-107,-315,-126,2431,-848,-2199,2022-10-21 16:19:29.913538
185,-144,1512,15783,1348,-47,97,-115,2326,-740,-2160,2022-10-21 16:19:30.042894
186,-143,1487,16063,888,-73,118,-133,2374,-853,-2188,2022-10-21 16:19:30.166845
187,-146,1141,16154,967,-57,-10,-155,2385,-831,-2245,2022-10-21 16:19:30.298270
188,-146,710,16018,1210,-55,-42,-186,2409,-828,-2212,2022-10-21 16:19:30.425829
189,-144,1091,15921,1244,-41,-856,-214,2439,-877,-2241,2022-10-21 16:19:30.553835
190,-143,1449,15888,1171,-158,-1562,-256,2455,-893,-2215,2022-10-21 16:19:30.683976
191,-146,1125,16131,974,-275,-2151,-180,2472,-863,-2295,2022-10-21 16:19:30.821997
192,-143,1324,16008,1230,-151,-2481,-282,2400,-870,-2398,2022-10-21 16:19:30.954017
193,-146,1296,15896,1106,-167,-2462,-256,2456,-852,-2561,2022-10-21 16:19:31.085387
194,-145,1042,15836,1399,-233,-2585,-336,2440,-861,-2544,2022-10-21 16:19:31.216474
195,-143,1507,16100,1188,-304,-2832,-332,2394,-860,-2605,2022-10-21 16:19:31.346113
196,-145,1794,16162,1396,-170,-2996,-354,2281,-803,-2649,2022-10-21 16:19:31.474158
197,-142,2112,16090,1422,-345,-3173,-300,2140,-684,-2789,2022-10-21 16:19:31.603034
198,-145,1335,15904,1210,-166,-3005,-370,2083,-753,-2877,2022-10-21 16:19:31.729666
199,-145,1660,15980,1478,-403,-2762,-253,2006,-693,-2935,2022-10-21 16:19:31.858432
200,-146,1164,15917,1510,40,-2632,-379,1925,-733,-3039,2022-10-21 16:19:31.988491
201,-146,1058,16282,722,-388,-2527,-334,1767,-677,-2989,2022-10-21 16:19:32.114125
202,-147,1272,15348,1299,-129,-2063,-313,1636,-589,-3083,2022-10-21 16:19:32.245831
203,-144,1065,15794,650,-88,-1677,-198,1470,-556,-3097,2022-10-21 16:19:32.371318
204,-144,1018,16082,1137,-254,-1085,-201,1331,-460,-3101,2022-10-21 16:19:32.499695
205,-144,1017,15860,1348,-79,-393,-159,1416,-496,-3125,2022-10-21 16:19:32.623216
206,-146,1471,16031,1098,-41,380,-196,1494,-637,-3037,2022-10-21 16:19:32.752841
207,-145,871,15977,1025,-81,96,-117,1567,-731,-3037,2022-10-21 16:19:32.896949
208,-141,1212,15839,1329,-13,222,-105,1590,-751,-3096,2022-10-21 16:19:33.023136
209,-142,1129,16073,994,13,247,-184,1558,-730,-3073,2022-10-21 16:19:33.142876
