,temp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,time
268,-140,564,15398,1309,246,2897,-345,-245,-233,-2554,2022-10-15 13:29:50.991835
269,-141,852,16035,900,11,3243,-13,793,-1177,-2722,2022-10-15 13:29:51.171100
270,-140,838,15975,1120,174,3608,-100,948,-1209,-2875,2022-10-15 13:29:51.349279
271,-142,301,15949,1103,127,3884,-144,1168,-1262,-2913,2022-10-15 13:29:51.528908
272,-139,1863,15688,1228,263,4428,-244,1361,-1295,-3060,2022-10-15 13:29:51.707488
273,-141,919,15432,960,175,4119,1,1577,-1263,-3160,2022-10-15 13:29:51.885251
274,-141,1790,15857,573,190,3709,-186,1815,-1233,-3125,2022-10-15 13:29:52.069537
275,-140,455,15751,761,38,3464,-191,1961,-1236,-3074,2022-10-15 13:29:52.250660
276,-140,966,16147,313,147,3720,-100,2189,-1236,-3077,2022-10-15 13:29:52.431391
277,-137,372,15967,1089,76,3664,-213,2325,-1206,-2988,2022-10-15 13:29:52.612651
278,-141,508,15742,848,43,3736,-139,2473,-1158,-2809,2022-10-15 13:29:52.792196
279,-136,-107,16412,643,291,4452,-10,2559,-1087,-2733,2022-10-15 13:29:52.972388
280,-140,1377,16305,637,267,4510,-206,2260,-729,-2551,2022-10-15 13:29:53.152775
281,-137,1389,16294,263,106,3465,-187,2325,-773,-2435,2022-10-15 13:29:53.332660
282,-138,1018,16158,519,72,3338,-205,2328,-734,-2346,2022-10-15 13:29:53.519891
