,temp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
252,-135,138,-13087,-10060,-1736,168,30,2121,6422,-622
253,-134,618,-11911,-10841,-2365,175,48,2230,6131,-496
254,-132,463,-11149,-11713,-2482,172,1,2335,5843,-385
255,-136,15,-10345,-12998,-2726,135,58,2355,5530,-277
256,-135,-38,-8681,-13807,-3234,202,52,2347,5236,-201
257,-133,115,-6604,-14766,-3451,96,72,2257,4885,-34
258,-132,390,-5103,-15282,-3064,232,-71,2266,4605,-56
259,-133,241,-3248,-16307,-3364,193,87,2192,4227,14
260,-132,175,-1195,-16298,-3493,140,90,2103,3865,22
261,-134,535,793,-16145,-3524,107,90,2053,3434,-78
262,-133,637,3400,-15842,-3310,106,3,1991,3019,-80
263,-135,263,5100,-15108,-3435,155,-17,1986,2585,-142
264,-135,456,7317,-14496,-3205,189,-52,2023,2172,-310
265,-134,516,8622,-13511,-3184,166,-26,2018,1716,-523
266,-134,563,10420,-12720,-3180,198,19,2043,1318,-655
267,-133,673,11278,-11264,-2942,144,66,2102,912,-770
268,-131,577,12554,-10010,-3154,185,79,2160,554,-986
269,-136,1047,13714,-8546,-3122,89,122,2216,180,-1236
270,-132,1110,14634,-6299,-3052,-47,122,2234,-135,-1433
271,-135,1446,14959,-4532,-3123,22,111,2293,-375,-1684
272,-135,180,21554,-4221,-2936,13,336,2307,-636,-1891
273,-135,1394,15855,-1747,-1761,24,50,2346,-757,-1984
274,-136,924,16188,-1351,-1156,117,14,2293,-766,-2181
275,-134,1182,15832,-578,-230,90,-24,2315,-759,-2130
276,-132,1040,16103,-200,-74,109,-36,2346,-798,-2235
277,-134,1223,15914,-136,-230,28,-150,2300,-802,-2207
278,-135,666,16322,-873,-140,649,-111,2329,-753,-2156
279,-134,1617,16039,88,101,163,29,2314,-757,-2174
280,-134,1290,16063,-364,-130,221,-74,2263,-689,-2214
281,-135,714,15700,309,-263,117,-42,2300,-726,-2170
282,-135,939,16100,-308,-206,68,-9,2301,-778,-2174
283,-132,1083,16095,-392,12,75,-38,2283,-743,-2151
284,-133,2119,15844,251,152,70,-62,2305,-731,-2208
285,-133,2268,16125,1102,-289,-1286,17,2284,-798,-2223
286,-133,1947,15777,283,-251,-1025,33,2305,-788,-2262
287,-133,2205,15613,187,-123,-1927,-126,2252,-767,-2313
288,-132,1683,15771,508,-199,-2602,65,2292,-781,-2468
289,-134,1121,15906,782,-349,-3195,-4,2227,-778,-2474
290,-134,1181,16257,129,-410,-3581,-46,2332,-813,-2615
291,-133,912,15924,725,-228,-3671,-119,2190,-749,-2653
292,-133,861,16017,745,-125,-3743,-31,2128,-753,-2753
293,-134,982,16361,-195,-338,-3417,-34,2115,-804,-2827
294,-132,1740,15983,-10,-240,-2960,-1,2014,-812,-2893
295,-133,1550,16159,380,-215,-2998,12,1916,-838,-2994
296,-136,1003,16122,301,-254,-3112,117,1814,-859,-3015
297,-131,1063,16096,176,-107,-3190,-23,1527,-711,-3126
298,-135,1102,15912,-65,-165,-3028,-4,1407,-703,-3066
299,-136,1359,15314,-77,-225,-2902,-51,1342,-757,-3141
300,-135,1165,16288,-144,-417,-2499,87,1184,-717,-3170
301,-134,1143,15632,502,-33,-1879,-28,1134,-704,-3082
302,-134,314,16613,-941,-198,-1014,-55,1040,-699,-3095
303,-129,381,15994,300,-71,-389,-39,1019,-678,-3181
304,-133,1229,15957,-155,29,9,-37,1004,-664,-3142
305,-134,1465,16344,-679,-9,127,-97,1004,-680,-3109
306,-135,1036,16084,3,-63,186,-114,1001,-694,-3153
307,-133,1350,16280,-544,-69,237,-107,964,-669,-3086
308,-135,374,16080,314,-14,366,-75,1035,-673,-3147
309,-133,580,15724,117,7,1475,-120,1038,-732,-3113
310,-135,2067,15878,-320,302,1213,-166,1133,-675,-3111
311,-133,-343,15534,-98,-279,2427,-70,1152,-709,-3113
312,-133,822,15850,-167,122,3063,-55,1242,-629,-3108
313,-133,1671,15973,205,80,3321,-165,1343,-678,-3060
314,-136,630,15183,1293,45,3327,-77,1514,-676,-3044
315,-133,1158,16105,55,11,3067,-125,1623,-666,-3017
316,-133,2294,15483,-5,-96,3005,97,1742,-695,-2980
317,-133,579,15491,-76,152,2703,-18,1854,-687,-2964
318,-132,335,15362,751,149,2796,4,1952,-729,-2854
319,-132,-666,15565,679,-26,2896,-183,2044,-738,-2807
320,-134,1416,15899,680,0,3510,-51,2158,-695,-2754
321,-131,1814,16224,673,376,3216,-267,2252,-744,-2634
322,-133,2030,15528,1091,65,3326,-103,2277,-704,-2613
323,-131,1215,16224,-382,136,3738,-156,2296,-708,-2446
324,-130,1037,15770,831,306,4216,-161,2320,-748,-2398
325,-134,1395,16035,484,88,4167,-160,2239,-708,-2269
326,-133,1345,16119,574,253,3928,-221,2144,-666,-2186
327,-135,613,16013,754,178,4087,-155,2145,-642,-2073
328,-134,383,16004,169,231,4214,-100,2122,-664,-2043
329,-134,1032,16076,323,209,4416,-79,2041,-648,-1996
330,-133,1467,16286,679,105,4407,-215,2008,-636,-1933
331,-131,1910,15833,401,188,4268,-187,1933,-658,-1801
332,-132,1565,16240,235,248,3996,-84,1892,-645,-1757
333,-134,1949,16045,364,131,3792,-139,1859,-641,-1684
334,-132,2765,16416,-236,135,3542,-196,1763,-622,-1666
335,-135,1838,15537,604,104,3056,-107,1790,-650,-1548
336,-132,1253,16363,-388,-17,1995,-70,1706,-598,-1487
